------RESULT-----

Pass-through
Pass-through query to just show input stream in the same form as we show output.
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0, input2 = 1, input3 = 0, input4 = 0 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1.9545E-15, input2 = 1, input3 = -1.9545E-15, input4 = 4.8862E-16 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1.7635E-14, input2 = 1, input3 = -1.7635E-14, input4 = -4.4087E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -6.8667E-15, input2 = -1, input3 = -6.8667E-15, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 3.4296E-14, input2 = -1, input3 = 3.4296E-14, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.55557 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 2.4985E-14, input3 = 1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 1.7144E-14, input3 = 1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -4.1646E-14, input3 = -1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = 7.3572E-15, input3 = -1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 8.8137E-15, input2 = -1, input3 = 8.8137E-15, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -3.3315E-14, input2 = 1, input3 = -3.3315E-14, input4 = 8.3288E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 9.7353E-16, input2 = -1, input3 = 9.7353E-16, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.55557 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 3.2825E-14, input3 = 1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 4.8505E-14, input3 = 1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = -1.6178E-14, input3 = 1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -6.5167E-14, input3 = -1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -1.6163E-14, input3 = -1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -4.8305E-16, input3 = -1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -7.8328E-15, input2 = 1, input3 = -7.8328E-15, input4 = 1.9582E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 2.4494E-14, input2 = -1, input3 = 2.4494E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -2.4509E-14, input2 = -1, input3 = -2.4509E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 7.3497E-14, input2 = -1, input3 = 7.3497E-14, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -4.1156E-14, input2 = 1, input3 = -4.1156E-14, input4 = 1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 7.8476E-15, input2 = 1, input3 = 7.8476E-15, input4 = 1.9619E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -5.6836E-14, input2 = 1, input3 = -5.6836E-14, input4 = -1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.55557 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = -4.9791E-16, input3 = 1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 6.4186E-14, input3 = 1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 1.5183E-14, input3 = 1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -3.1844E-14, input3 = -1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = 1.7159E-14, input3 = -1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = 3.284E-14, input3 = -1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 4.0175E-14, input2 = -1, input3 = 4.0175E-14, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = 0.38268, input3 = -0.92388, input4 = -0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.92388, input2 = -0.38268, input3 = -0.92388, input4 = -0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -2.3513E-14, input2 = 1, input3 = -2.3513E-14, input4 = -5.8783E-15 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 2.549E-14, input2 = 1, input3 = 2.549E-14, input4 = -1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 5.5855E-14, input2 = -1, input3 = 5.5855E-14, input4 = 0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = 0.92388, input3 = 0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.38268, input2 = -0.92388, input3 = 0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.098017 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = 0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = 0.92388, input3 = -0.38268, input4 = -0.99518 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.77301 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = 0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.38268, input2 = -0.92388, input3 = -0.38268, input4 = -0.63439 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -7.2516E-14, input2 = 1, input3 = -7.2516E-14, input4 = 1 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -8.8286E-15, input2 = -1, input3 = -8.8286E-15, input4 = -0.70711 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = 0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = 0.70711, input3 = 0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = 0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.70711, input2 = -0.70711, input3 = 0.70711, input4 = -0.55557 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.98079 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = 0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = 0.70711, input3 = -0.70711, input4 = -0.19509 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = 0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.83147 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -0.70711, input2 = -0.70711, input3 = -0.70711, input4 = -0.55557 }
CTI    <05/03/2013 21:05:49>
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 3.0863E-14, input3 = 1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = 7.9866E-14, input3 = 1, input4 = 0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 1, input2 = -1.814E-14, input3 = 1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -6.3205E-14, input3 = -1, input4 = 0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = -4.7524E-14, input3 = -1, input4 = -0.38268 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = -1, input2 = 1.4789E-15, input3 = -1, input4 = -0.92388 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = -0.29028 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = 0.38268, input3 = 0.92388, input4 = 0.95694 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.88192 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = 0.4714 }
INSERT <05/03/2013 21:05:49 - 05/03/2013 21:05:49> { input1 = 0.92388, input2 = -0.38268, input3 = 0.92388, input4 = -0.4714 }
